,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,경도,위도,좌표_x,대학교,면적(m^2),반경,시도,시군구,읍면동,하위,좌표_y,코드종류,읍면동코드,주소코드,1km 이내 거리(m)
1147237,R,학문/교육,R09,학원기타,R09A01,학원(종합),26,부산광역시,26320,북구,2632052100,구포3동,2632010500.0,구포동,2632052100108750004,129.004903023147,35.1975496075814,"(129.004903023147, 35.1975496075814)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,-151.13691224104548
1147257,R,학문/교육,R08,유아교육,R08A02,어린이집,26,부산광역시,26320,북구,2632052100,구포3동,2632010500.0,구포동,2632010500108130004,129.008936453544,35.1987059055631,"(129.008936453544, 35.1987059055631)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,221.3092520944922
1147323,Q,음식,Q03,일식/수산물,Q03A03,음식점-초밥전문,26,부산광역시,26320,북구,2632056000,덕천2동,2632010400.0,덕천동,2632010400103500030,129.004606790306,35.2109467319624,"(129.004606790306, 35.2109467319624)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,777.5808952908026
1147367,R,학문/교육,R01,학원-보습교습입시,R01A01,학원-입시,26,부산광역시,26320,북구,2632052000,구포2동,2632010500.0,구포동,2632010500112930000,129.002217563311,35.1970580695588,"(129.002217563311, 35.1970580695588)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,-71.89133212324913
1147401,Q,음식,Q09,유흥주점,Q09A10,룸살롱/단란주점,26,부산광역시,26320,북구,2632056000,덕천2동,2632010400.0,덕천동,2632010400103960011,129.006498460588,35.2111563686643,"(129.006498460588, 35.2111563686643)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,816.4238412611426
1147415,F,생활서비스,F03,개인/가정용품수리,F03A07,컴퓨터수리,26,부산광역시,26320,북구,2632051000,구포1동,2632010500.0,구포동,2632010500106470003,129.004730748765,35.2058528491356,"(129.004730748765, 35.2058528491356)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,421.88289910000265
1147432,F,생활서비스,F01,이/미용/건강,F01A03,비만/피부관리,26,부산광역시,26320,북구,2632051000,구포1동,2632010500.0,구포동,2632010500106520007,129.004035935531,35.2056152371665,"(129.004035935531, 35.2056152371665)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,404.8820686486672
1147515,D,소매,D25,기타판매업,D25A02,복권판매,26,부산광역시,26320,북구,2632052000,구포2동,2632010500.0,구포동,2632010500109860056,129.00017634726,35.2025373802571,"(129.00017634726, 35.2025373802571)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,358.09295188537305
1147524,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,26,부산광역시,26320,북구,2632051000,구포1동,2632010500.0,구포동,2632010500107000107,129.004156719656,35.2029371049242,"(129.004156719656, 35.2029371049242)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,217.0621432022292
1147657,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,26,부산광역시,26320,북구,2632052100,구포3동,2632010500.0,구포동,2632010500112590035,129.007230703011,35.1948531357839,"(129.007230703011, 35.1948531357839)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,-41.02813927052841
