"SGG 행정구역별",Y2007 2007,Y2008 2008,Y2009 2009,Y2010 2010,Y2011 2011,Y2012 2012,Y2013 2013,Y2014 2014,Y2015 2015,Y2016 2016,Y2017 2017,Y2018 2018,Y2019 2019,Y2020 2020,Y2021 2021
"SGG 행정구역별",T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D),T10 대학교 수<br>(A+B+C+D)
"24010 동구",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"24030 남구",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"24040 북구",5,5,5,5,6,6,6,6,6,6,6,6,6,6,6
"24050 광산구",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"25 대전광역시",15,15,14,14,15,15,15,15,15,15,15,15,15,15,15
"25010 동구",5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
"25020 중구",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"25030 서구",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"25040 유성구",5,5,4,4,5,5,5,5,5,5,5,5,5,5,5
"25050 대덕구",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
"26 울산광역시",3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
"26020 남구",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"26030 동구",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"26310 울주군",1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
"29 세종특별자치시",,,,,,,2,2,2,2,2,3,3,3,3
"31 경기도",61,62,62,62,63,62,62,61,60,60,60,61,61,61,61
"31010 수원시",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
