,기준년도,학교종류,설립구분,지역,상태,학교,입학정원,정원내(모집인원),정원내(지원자),정원내 입학자(남),정원내 입학자(여),정원내 신입생 충원율(정원내 입학자/정원내 모집인원),경쟁률(정원내 지원자/정원내 모집인원)
137,2020,대학교,사립,경기,기존,신경대학교 ,246.0,246.0,1474.0,93.0,68.0,65.4,6.0
138,2020,대학교,사립,부산,기존,신라대학교 ,2143.0,2142.0,12687.0,993.0,899.0,88.3,5.9
139,2020,대학교,사립,경기,기존,신한대학교 ,336.0,340.0,2968.0,203.0,137.0,100.0,8.7
140,2020,대학교,사립,경기,기존,신한대학교 _제2캠퍼스,1117.0,1126.0,11233.0,467.0,659.0,100.0,10.0
141,2020,대학교,사립,경기,기존,아신대학교 ,186.0,186.0,263.0,80.0,72.0,81.7,1.4
142,2020,대학교,사립,경기,기존,아주대학교 ,1861.0,1867.0,28636.0,1137.0,724.0,99.7,15.3
143,2020,대학교,국립,경북,기존,안동대학교 ,1456.0,1461.0,7219.0,891.0,568.0,99.9,4.9
144,2020,대학교,사립,경기,기존,안양대학교 ,1009.0,1012.0,8181.0,462.0,541.0,99.1,8.1
145,2020,대학교,사립,인천,기존,안양대학교 _제2캠퍼스,122.0,123.0,576.0,79.0,44.0,100.0,4.7
146,2020,대학교,사립,서울,기존,연세대학교 ,3417.0,3433.0,47380.0,1852.0,1574.0,99.8,13.8
147,2020,대학교,사립,강원,기존,연세대학교(미래) _분교,1466.0,1470.0,13315.0,776.0,688.0,99.6,9.1
148,2020,대학교,사립,경북,기존,영남대학교 ,4552.0,4560.0,24116.0,2413.0,2132.0,99.7,5.3
149,2020,대학교,사립,경북,기존,영남신학대학교 ,115.0,115.0,230.0,37.0,78.0,100.0,2.0
150,2020,대학교,사립,경남,기존,영산대학교 ,655.0,656.0,4115.0,352.0,301.0,99.5,6.3
151,2020,대학교,사립,부산,기존,영산대학교 _제2캠퍼스,845.0,845.0,4405.0,381.0,464.0,100.0,5.2
152,2020,대학교,사립,전남,기존,영산선학대학교 ,50.0,50.0,6.0,4.0,2.0,12.0,0.1
153,2020,대학교,사립,전북,기존,예수대학교 ,124.0,125.0,758.0,25.0,100.0,100.0,6.1
154,2020,대학교,사립,전북,기존,예원예술대학교 ,207.0,210.0,902.0,95.0,111.0,98.1,4.3
