소재지(시군구)별,문화시설별,항목,단위,2020 년
구로구,박물관,면적,㎡,
구로구,미술관,시설수,개,
구로구,미술관,면적,㎡,
구로구,과학관,시설수,개,
구로구,과학관,면적,㎡,
구로구,문화산업단지,시설수,개,
구로구,문화산업단지,면적,㎡,
구로구,문화산업진흥시설,시설수,개,
구로구,문화산업진흥시설,면적,㎡,
구로구,지방문화원,시설수,개,
구로구,지방문화원,면적,㎡,
구로구,문화예술진흥시설,시설수,개,5
구로구,문화예술진흥시설,면적,㎡,6409
구로구,전시시설,시설수,개,
구로구,전시시설,면적,㎡,
구로구,국제회의시설,시설수,개,
구로구,국제회의시설,면적,㎡,
구로구,공공도서관,시설수,개,
구로구,공공도서관,면적,㎡,
구로구,전문도서관,시설수,개,
구로구,전문도서관,면적,㎡,
금천구,계,시설수,개,2
금천구,계,면적,㎡,6516
금천구,공연장,시설수,개,
금천구,공연장,면적,㎡,
금천구,박물관,시설수,개,
금천구,박물관,면적,㎡,
금천구,미술관,시설수,개,
금천구,미술관,면적,㎡,
금천구,과학관,시설수,개,
금천구,과학관,면적,㎡,
금천구,문화산업단지,시설수,개,
금천구,문화산업단지,면적,㎡,
금천구,문화산업진흥시설,시설수,개,
금천구,문화산업진흥시설,면적,㎡,
금천구,지방문화원,시설수,개,
금천구,지방문화원,면적,㎡,
금천구,문화예술진흥시설,시설수,개,1
금천구,문화예술진흥시설,면적,㎡,2626
금천구,전시시설,시설수,개,
금천구,전시시설,면적,㎡,
금천구,국제회의시설,시설수,개,
금천구,국제회의시설,면적,㎡,
금천구,공공도서관,시설수,개,1
금천구,공공도서관,면적,㎡,3890
금천구,전문도서관,시설수,개,
금천구,전문도서관,면적,㎡,
동작구,계,시설수,개,4
동작구,계,면적,㎡,8597
동작구,공연장,시설수,개,
동작구,공연장,면적,㎡,
동작구,박물관,시설수,개,
동작구,박물관,면적,㎡,
동작구,미술관,시설수,개,
동작구,미술관,면적,㎡,
동작구,과학관,시설수,개,
동작구,과학관,면적,㎡,
동작구,문화산업단지,시설수,개,
동작구,문화산업단지,면적,㎡,
동작구,문화산업진흥시설,시설수,개,
동작구,문화산업진흥시설,면적,㎡,
동작구,지방문화원,시설수,개,
동작구,지방문화원,면적,㎡,
동작구,문화예술진흥시설,시설수,개,2
동작구,문화예술진흥시설,면적,㎡,6321
동작구,전시시설,시설수,개,
동작구,전시시설,면적,㎡,
동작구,국제회의시설,시설수,개,
동작구,국제회의시설,면적,㎡,
동작구,공공도서관,시설수,개,2
동작구,공공도서관,면적,㎡,2276
동작구,전문도서관,시설수,개,
동작구,전문도서관,면적,㎡,
강남구,계,시설수,개,5
강남구,계,면적,㎡,22814
강남구,공연장,시설수,개,
강남구,공연장,면적,㎡,
강남구,박물관,시설수,개,
강남구,박물관,면적,㎡,
강남구,미술관,시설수,개,
강남구,미술관,면적,㎡,
강남구,과학관,시설수,개,
강남구,과학관,면적,㎡,
강남구,문화산업단지,시설수,개,
강남구,문화산업단지,면적,㎡,
강남구,문화산업진흥시설,시설수,개,
강남구,문화산업진흥시설,면적,㎡,
강남구,지방문화원,시설수,개,
강남구,지방문화원,면적,㎡,
강남구,문화예술진흥시설,시설수,개,3
강남구,문화예술진흥시설,면적,㎡,8170
강남구,전시시설,시설수,개,
강남구,전시시설,면적,㎡,
강남구,국제회의시설,시설수,개,
강남구,국제회의시설,면적,㎡,
강남구,공공도서관,시설수,개,2
강남구,공공도서관,면적,㎡,14644
강남구,전문도서관,시설수,개,
강남구,전문도서관,면적,㎡,
광진구,계,시설수,개,3
광진구,계,면적,㎡,7400
광진구,공연장,시설수,개,
광진구,공연장,면적,㎡,
광진구,박물관,시설수,개,
광진구,박물관,면적,㎡,
광진구,미술관,시설수,개,
광진구,미술관,면적,㎡,
광진구,과학관,시설수,개,
광진구,과학관,면적,㎡,
광진구,문화산업단지,시설수,개,
광진구,문화산업단지,면적,㎡,
광진구,문화산업진흥시설,시설수,개,
광진구,문화산업진흥시설,면적,㎡,
광진구,지방문화원,시설수,개,
광진구,지방문화원,면적,㎡,
광진구,문화예술진흥시설,시설수,개,3
광진구,문화예술진흥시설,면적,㎡,7400
광진구,전시시설,시설수,개,
광진구,전시시설,면적,㎡,
광진구,국제회의시설,시설수,개,
광진구,국제회의시설,면적,㎡,
광진구,공공도서관,시설수,개,
광진구,공공도서관,면적,㎡,
광진구,전문도서관,시설수,개,
광진구,전문도서관,면적,㎡,
중랑구,계,시설수,개,6
중랑구,계,면적,㎡,19234
중랑구,공연장,시설수,개,
중랑구,공연장,면적,㎡,
중랑구,박물관,시설수,개,
중랑구,박물관,면적,㎡,
중랑구,미술관,시설수,개,
중랑구,미술관,면적,㎡,
중랑구,과학관,시설수,개,
중랑구,과학관,면적,㎡,
중랑구,문화산업단지,시설수,개,
중랑구,문화산업단지,면적,㎡,
중랑구,문화산업진흥시설,시설수,개,
중랑구,문화산업진흥시설,면적,㎡,
중랑구,지방문화원,시설수,개,
중랑구,지방문화원,면적,㎡,
중랑구,문화예술진흥시설,시설수,개,3
중랑구,문화예술진흥시설,면적,㎡,9549
중랑구,전시시설,시설수,개,
중랑구,전시시설,면적,㎡,
중랑구,국제회의시설,시설수,개,
중랑구,국제회의시설,면적,㎡,
중랑구,공공도서관,시설수,개,3
중랑구,공공도서관,면적,㎡,9685
중랑구,전문도서관,시설수,개,
중랑구,전문도서관,면적,㎡,
노원구,계,시설수,개,4
노원구,계,면적,㎡,11268
노원구,공연장,시설수,개,
노원구,공연장,면적,㎡,
노원구,박물관,시설수,개,
노원구,박물관,면적,㎡,
노원구,미술관,시설수,개,
노원구,미술관,면적,㎡,
노원구,과학관,시설수,개,
노원구,과학관,면적,㎡,
노원구,문화산업단지,시설수,개,
노원구,문화산업단지,면적,㎡,
노원구,문화산업진흥시설,시설수,개,
노원구,문화산업진흥시설,면적,㎡,
노원구,지방문화원,시설수,개,
노원구,지방문화원,면적,㎡,
노원구,문화예술진흥시설,시설수,개,2
노원구,문화예술진흥시설,면적,㎡,9499
노원구,전시시설,시설수,개,
노원구,전시시설,면적,㎡,
노원구,국제회의시설,시설수,개,
노원구,국제회의시설,면적,㎡,
노원구,공공도서관,시설수,개,2
노원구,공공도서관,면적,㎡,1769
노원구,전문도서관,시설수,개,
노원구,전문도서관,면적,㎡,
부산광역시,계,시설수,개,44
부산광역시,계,면적,㎡,444277
부산광역시,공연장,시설수,개,
부산광역시,공연장,면적,㎡,
부산광역시,박물관,시설수,개,
부산광역시,박물관,면적,㎡,
부산광역시,미술관,시설수,개,2
부산광역시,미술관,면적,㎡,17784
부산광역시,과학관,시설수,개,
부산광역시,과학관,면적,㎡,
부산광역시,문화산업단지,시설수,개,1
부산광역시,문화산업단지,면적,㎡,16800
부산광역시,문화산업진흥시설,시설수,개,
부산광역시,문화산업진흥시설,면적,㎡,
부산광역시,지방문화원,시설수,개,
부산광역시,지방문화원,면적,㎡,
부산광역시,문화예술진흥시설,시설수,개,26
